불바다,"['da_20180822200004062', 'da_20180822191838055', 'da_20180822191502972', 'da_20180822184101227', 'da_20180822175401965', 'da_20180822173737389']"
국정농단,['da_20180822194212614']
연단,"['da_20180822193423421', 'da_20180822191602998']"
매립지,['da_20180822174331611']
치맥,['da_20180822203835753']
사격,['da_20180822194229621']
눈물,"['da_20180822210000141', 'da_20180822211607445', 'da_20180822204349849', 'da_20180822203223649', 'da_20180822203008592', 'da_20180822202703534', 'da_20180822202400470', 'da_20180822200102098', 'da_20180822192813281', 'da_20180822192627233', 'da_20180822192354168', 'da_20180822190304657', 'da_20180822184704351', 'da_20180822184653345', 'da_20180822183025946', 'da_20180822182941919', 'da_20180822181509607', 'da_20180822181502605', 'da_20180822180600297', 'da_20180822180300214', 'da_20180822175352956', 'da_20180822174941795', 'da_20180822173650357', 'da_20180822173619341', 'da_20180822173423245', 'da_20180822173311213']"
허용,"['da_20180822193831524', 'da_20180822192424188', 'da_20180822191501967', 'da_20180822190244643', 'da_20180822184724359', 'da_20180822184647343', 'da_20180822182658852', 'da_20180822180158185', 'da_20180822175401969', 'da_20180822175317946', 'da_20180822174852774', 'da_20180822173509271']"
혼탁,['da_20180822174947799']
수사기구,['da_20180822184657348']
공장장비,['da_20180822175708057']
마산항,['da_20180822173359233']
경제부총리,"['da_20180822205716100', 'da_20180822202702533', 'da_20180822200742195', 'da_20180822195405893', 'da_20180822194313639', 'da_20180822194229621', 'da_20180822194212614', 'da_20180822193112352', 'da_20180822191803040', 'da_20180822191800034', 'da_20180822190902794', 'da_20180822190603729', 'da_20180822185503512', 'da_20180822184638340', 'da_20180822183559085', 'da_20180822183152981', 'da_20180822182213754', 'da_20180822181047491', 'da_20180822180258213', 'da_20180822175202918', 'da_20180822175028837', 'da_20180822174429628', 'da_20180822174303602']"
방재물자,['da_20180822204558889']
연계,"['da_20180822182419796', 'da_20180822182100729', 'da_20180822175401967']"
발표안,['da_20180822174852774']
전원,['da_20180822182316771']
이명박,"['da_20180822201928410', 'da_20180822184901397', 'da_20180822183559085', 'da_20180822181003437', 'da_20180822180817381', 'da_20180822174429628']"
산업부와,['da_20180822182532820']
충원,['da_20180822173609334']
반론,"['da_20180822184256272', 'da_20180822173737389']"
전방위,['da_20180822182213754']
한국캠퍼스,['da_20180822175855084']
한국노총,"['da_20180822211200373', 'da_20180822183459057']"
시계,"['da_20180822183559085', 'da_20180822180600297']"
박주민,"['da_20180822193900536', 'da_20180822192342164', 'da_20180822173511273']"
